033500,2019.12.20,2020.01.10,5
097780,2019.12.20,2020.01.03,27
006910,2019.12.20,2020.01.17,2
039980,2019.12.20,2020.02.14,20
125210,2019.12.20,2020.02.11,48
200710,2019.12.20,2020.02.20,120
041960,2019.12.20,2019.12.23,4
016600,2019.12.20,2020.02.13,65
065620,2019.12.20,2020.01.30,106
192650,2019.12.23,2020.01.09,6
003620,2019.12.23,2020.01.16,2
002880,2019.12.23,2020.01.15,9
006740,2019.12.23,2020.02.07,9
006980,2019.12.23,2020.01.28,12
000890,2019.12.23,2020.01.15,11
003780,2019.12.23,2020.02.13,12
100250,2019.12.23,2019.12.26,1
200710,2019.12.23,2020.02.20,103
043290,2019.12.23,2020.02.17,3
065620,2019.12.23,2020.01.30,110
036530,2019.12.24,2019.12.26,1
084870,2019.12.24,2020.01.03,3
002795,2019.12.24,2020.01.16,0
001880,2019.12.24,2020.01.02,0
015230,2019.12.24,2019.12.26,0
005960,2019.12.24,2020.02.11,0
290660,2019.12.24,2020.01.02,5
036580,2019.12.24,2019.12.26,0
053270,2019.12.24,2020.02.12,14
272450,2019.12.24,2020.01.10,3
004560,2019.12.24,2020.01.02,2
006620,2019.12.24,2020.01.30,22
289010,2019.12.24,2020.02.24,61
222080,2019.12.24,2020.02.20,91
200710,2019.12.24,2020.02.20,87
137950,2019.12.24,2020.01.06,8
089890,2019.12.24,2020.01.17,38
002795,2019.12.26,2020.01.16,8
005960,2019.12.26,2020.02.11,0
006620,2019.12.26,2020.01.30,17
087730,2019.12.26,2020.01.02,4
096040,2019.12.26,2019.12.27,-10
076610,2019.12.26,2020.02.19,22
082640,2019.12.27,2019.12.30,-1
214330,2019.12.27,2019.12.30,3
267260,2019.12.27,2020.01.10,17
290660,2019.12.27,2020.01.02,1
180640,2019.12.27,2020.02.27,63
101390,2019.12.27,2020.01.29,14
097780,2019.12.27,2020.01.03,28
096040,2019.12.27,2019.12.30,-3
031980,2019.12.27,2020.01.17,10
011150,2019.12.30,2020.02.26,55
192650,2019.12.30,2020.01.09,3
037270,2019.12.30,2020.01.17,10
214330,2019.12.30,2020.01.02,-1
091090,2019.12.30,2020.01.13,2
016880,2019.12.30,2020.01.28,-7
095720,2019.12.30,2020.01.02,-6
180640,2019.12.30,2020.02.28,68
077360,2019.12.30,2020.01.23,12
101240,2019.12.30,2020.02.14,19
005670,2019.12.30,2020.01.13,3
220630,2019.12.30,2020.01.23,13
222980,2019.12.30,2020.01.02,0
